1012789695,Marcos,Pinto,77
1016260080,Patrícia,Santos,20
1022212683,Bruno,Santos,34
1031051834,Ana,Nascimento,81
1055839111,Marcos,Gomes,27
1066589782,Ana,Ferreira,67
1092073786,Beatriz,Carvalho,64
1153609643,Fernanda,Costa,41
1153609643,Rafael,Rocha,69
1153609643,João,Gomes,72
1171303709,João,Almeida,89
1175556774,Camila,Pereira,85
1198756178,Bruno,Santos,50
1201740209,Lucas,Rodrigues,45
1219914995,Marcos,Martins,24
1231995662,Juliana,Oliveira,80
1272419750,Rafael,Pinto,58
1277606625,Patrícia,Dias,48
1310986245,Beatriz,Pinto,29
1314336057,Diego,Carvalho,78
1314336057,Amanda,Rodrigues,88
1315080627,Mariana,Oliveira,70
1321557327,Lucas,Lima,43
1324951935,Lucas,Lima,43
1328233921,Diego,Ribeiro,49
1329022784,Marcos,Almeida,30
1342235504,Patrícia,Rocha,88
1360494742,Pedro,Ferreira,77
1363527764,Gustavo,Pereira,73
1367492617,Mariana,Costa,50
1376836759,Rafael,Almeida,85
1391938707,Ana,Pereira,55
1431016097,Juliana,Santos,30
1436644690,Amanda,Costa,18
1439992570,Gustavo,Miranda,84
1450162444,Ricardo,Rocha,89
1455616814,Amanda,Barbosa,39
1496284076,Diego,Rodrigues,65
1507629420,Diego,Rodrigues,65
1525030064,Amanda,Souza,62
1530304407,Maria,Nascimento,82
1534842981,Ana,Souza,86
1551334123,Amanda,Costa,64
1572018596,Fernanda,Nascimento,76
1591977074,Maria,Nascimento,76
1622499982,Amanda,Carvalho,32
1629073992,Maria,Lima,89
1632703491,Bruno,Carvalho,46
1632900042,Maria,Almeida,35
1636842633,Pedro,Pinto,75
1647286174,Fernanda,Gomes,28
1647286174,Carlos,Gomes,77
1656277402,Bruno,Rocha,20
1678073956,Lucas,Nascimento,38
1696202336,Maria,Santos,30
1699329745,João,Costa,77
1701277063,Juliana,Santos,74
1704622656,Lucas,Pereira,90
1732815954,Ricardo,Gomes,82
1740966622,Rafael,Carvalho,58
1749317560,Beatriz,Barbosa,34
1751800778,Fernanda,Silva,73
1769314027,Lucas,Gomes,62
1775095465,Amanda,Gomes,81
1795598983,Ana,Barbosa,37
1798677823,Maria,Rodrigues,69
1801962260,Fernanda,Miranda,27
1807949800,Ricardo,Barbosa,41
1816778481,Ana,Rodrigues,90
1817576018,Ana,Martins,62
1819023201,Fernanda,Costa,75
1823320025,Paulo,Martins,87
1824225358,Pedro,Rodrigues,53
1824225358,Rafael,Barbosa,73
1828523329,Marcos,Barbosa,49
1834409325,Marcos,Rocha,84
1860742906,Rafael,Dias,69
1864876998,Rafael,Dias,69
1864876998,Pedro,Pinto,44
1871091267,Carlos,Rodrigues,62
1022212683,Amanda,Souza,58
